timestamp,hr
1780313007.7937515,77
1780313008.7928684,77
1780313009.7927933,77
1780313010.8929348,77
1780313011.7929316,76
1780313012.7929459,76
1780313013.842936,75
1780313014.7998521,74
1780313015.7929456,74
1780313016.8429437,74
1780313017.792946,74
1780313018.792924,74
1780313019.8429286,74
1780313020.792813,75
1780313021.792927,75
1780313022.7926679,75
1780313023.7997692,76
1780313024.8427289,77
1780313025.7928314,77
1780313026.7932067,76
1780313027.8499095,76
1780313028.7928412,75
1780313029.792934,76
1780313030.843209,76
1780313031.793219,78
1780313032.7939425,78
1780313033.7929614,77
1780313034.7986815,77
1780313035.9499216,76
1780313037.9429407,75
1780313037.9495559,74
1780313038.949944,73
1780313039.9427576,73
1780313040.9499009,72
1780313041.9502277,72
1780313042.9502206,72
1780313043.942893,73
1780313044.949937,73
1780313045.9499388,74
1780313046.9432175,74
1780313047.9498188,74
1780313048.949891,74
1780313049.9499092,73
1780313050.9502149,73
1780313051.950212,73
1780313052.9428446,73
1780313054.9432197,73
1780313054.9494975,73
1780313055.9499428,73
1780313056.9499228,73
1780313057.9508138,72
1780313058.9499412,71
1780313059.949925,71
1780313060.9432251,72
1780313061.9499247,72
1780313062.9499404,72
1780313063.9489353,72
1780313064.949899,71
1780313065.9488282,71
1780313066.9498441,70
