packet_id,device_time,host_time,ecg,sample_idx,sample_time,time_ms
0,599616012474.8479,1780936882940.94,10048,0,599616011921.0017,0.0
0,599616012474.8479,1780936882940.9539,14528,1,599616011928.6941,7.6923828125
0,599616012474.8479,1780936882940.957,4184,2,599616011936.3864,15.3846435546875
0,599616012474.8479,1780936882940.961,14697,3,599616011944.0786,23.076904296875
0,599616012474.8479,1780936882940.9639,9990,4,599616011951.771,30.769287109375
0,599616012474.8479,1780936882940.967,6953,5,599616011959.4633,38.4615478515625
0,599616012474.8479,1780936882940.97,15566,6,599616011967.1556,46.1539306640625
0,599616012474.8479,1780936882940.9722,5088,7,599616011974.8479,53.84619140625
0,599616012474.8479,1780936882940.9749,12523,8,599616011982.5402,61.5384521484375
0,599616012474.8479,1780936882940.978,12462,9,599616011990.2325,69.2308349609375
0,599616012474.8479,1780936882940.981,4718,10,599616011997.9248,76.923095703125
0,599616012474.8479,1780936882940.9832,15518,11,599616012005.6172,84.615478515625
0,599616012474.8479,1780936882940.9858,7091,12,599616012013.3094,92.3077392578125
0,599616012474.8479,1780936882940.989,9535,13,599616012021.0017,100.0
0,599616012474.8479,1780936882940.9922,14298,14,599616012028.6941,107.6923828125
0,599616012474.8479,1780936882940.9958,3877,15,599616012036.3864,115.3846435546875
0,599616012474.8479,1780936882941.0,14381,16,599616012044.0786,123.076904296875
0,599616012474.8479,1780936882941.005,9742,17,599616012051.771,130.769287109375
0,599616012474.8479,1780936882941.009,6412,18,599616012059.4633,138.4615478515625
0,599616012474.8479,1780936882941.0132,15048,19,599616012067.1556,146.1539306640625
0,599616012474.8479,1780936882941.0168,4521,20,599616012074.8479,153.84619140625
0,599616012474.8479,1780936882941.021,12116,21,599616012082.5402,161.5384521484375
0,599616012474.8479,1780936882941.025,12295,22,599616012090.2325,169.2308349609375
0,599616012474.8479,1780936882941.029,4291,23,599616012097.9248,176.923095703125
0,599616012474.8479,1780936882941.033,15239,24,599616012105.6172,184.615478515625
0,599616012474.8479,1780936882941.0378,6872,25,599616012113.3094,192.3077392578125
0,599616012474.8479,1780936882941.042,9110,26,599616012121.0017,200.0
0,599616012474.8479,1780936882941.046,14075,27,599616012128.6941,207.6923828125
0,599616012474.8479,1780936882941.05,3571,28,599616012136.3864,215.3846435546875
0,599616012474.8479,1780936882941.0542,14028,29,599616012144.0786,223.076904296875
0,599616012474.8479,1780936882941.0579,9491,30,599616012151.771,230.769287109375
0,599616012474.8479,1780936882941.062,6103,31,599616012159.4633,238.4615478515625
0,599616012474.8479,1780936882941.066,15004,32,599616012167.1556,246.1539306640625
0,599616012474.8479,1780936882941.071,4321,33,599616012174.8479,253.84619140625
0,599616012474.8479,1780936882941.0752,11663,34,599616012182.5402,261.5384521484375
0,599616012474.8479,1780936882941.0789,11984,35,599616012190.2325,269.2308349609375
0,599616012474.8479,1780936882941.083,3845,36,599616012197.9248,276.923095703125
0,599616012474.8479,1780936882941.087,14916,37,599616012205.6172,284.615478515625
0,599616012474.8479,1780936882941.091,6521,38,599616012213.3094,292.3077392578125
0,599616012474.8479,1780936882941.0952,8533,39,599616012221.0017,300.0
0,599616012474.8479,1780936882941.0989,13603,40,599616012228.6941,307.6923828125
0,599616012474.8479,1780936882941.104,2948,41,599616012236.3864,315.3846435546875
0,599616012474.8479,1780936882941.108,13622,42,599616012244.0786,323.076904296875
0,599616012474.8479,1780936882941.112,9186,43,599616012251.771,330.769287109375
0,599616012474.8479,1780936882941.1162,5464,44,599616012259.4633,338.4615478515625
0,599616012474.8479,1780936882941.127,14690,45,599616012267.1556,346.1539306640625
0,599616012474.8479,1780936882941.131,4026,46,599616012274.8479,353.84619140625
0,599616012474.8479,1780936882941.136,11150,47,599616012282.5402,361.5384521484375
0,599616012474.8479,1780936882941.14,11668,48,599616012290.2325,369.2308349609375
0,599616012474.8479,1780936882941.144,3443,49,599616012297.9248,376.923095703125
0,599616012474.8479,1780936882941.148,14556,50,599616012305.6172,384.615478515625
0,599616012474.8479,1780936882941.152,6117,51,599616012313.3094,392.3077392578125
0,599616012474.8479,1780936882941.156,8083,52,599616012321.0017,400.0
0,599616012474.8479,1780936882941.161,13536,53,599616012328.6941,407.6923828125
0,599616012474.8479,1780936882941.165,2713,54,599616012336.3864,415.3846435546875
0,599616012474.8479,1780936882941.169,13213,55,599616012344.0786,423.076904296875
0,599616012474.8479,1780936882941.173,8889,56,599616012351.771,430.769287109375
0,599616012474.8479,1780936882941.177,5065,57,599616012359.4633,438.4615478515625
0,599616012474.8479,1780936882941.181,14442,58,599616012367.1556,446.1539306640625
0,599616012474.8479,1780936882941.185,3675,59,599616012374.8479,453.84619140625
0,599616012474.8479,1780936882941.189,10671,60,599616012382.5402,461.5384521484375
0,599616012474.8479,1780936882941.193,11245,61,599616012390.2325,469.2308349609375
0,599616012474.8479,1780936882941.197,2825,62,599616012397.9248,476.923095703125
0,599616012474.8479,1780936882941.201,14256,63,599616012405.6172,484.615478515625
0,599616012474.8479,1780936882941.205,5927,64,599616012413.3094,492.3077392578125
0,599616012474.8479,1780936882941.211,7620,65,599616012421.0017,500.0
0,599616012474.8479,1780936882941.215,13278,66,599616012428.6941,507.6923828125
0,599616012474.8479,1780936882941.219,2346,67,599616012436.3864,515.3846435546875
0,599616012474.8479,1780936882941.223,12811,68,599616012444.0786,523.076904296875
0,599616012474.8479,1780936882941.227,8645,69,599616012451.771,530.769287109375
0,599616012474.8479,1780936882941.231,4607,70,599616012459.4633,538.4615478515625
0,599616012474.8479,1780936882941.235,14114,71,599616012467.1556,546.1539306640625
0,599616012474.8479,1780936882941.239,3394,72,599616012474.8479,553.84619140625
1,599616013036.4148,1780936883481.344,10387,0,599616012482.5686,561.56689453125
1,599616013036.4148,1780936883481.363,11194,1,599616012490.261,569.25927734375
1,599616013036.4148,1780936883481.3699,2516,2,599616012497.9532,576.9515380859375
1,599616013036.4148,1780936883481.373,13910,3,599616012505.6455,584.643798828125
1,599616013036.4148,1780936883481.38,5671,4,599616012513.3379,592.336181640625
1,599616013036.4148,1780936883481.383,7230,5,599616012521.0302,600.0284423828125
1,599616013036.4148,1780936883481.386,13043,6,599616012528.7225,607.7208251953125
1,599616013036.4148,1780936883481.3882,2007,7,599616012536.4148,615.4130859375
1,599616013036.4148,1780936883481.3909,12458,8,599616012544.107,623.1053466796875
1,599616013036.4148,1780936883481.393,8310,9,599616012551.7994,630.7977294921875
1,599616013036.4148,1780936883481.395,4093,10,599616012559.4917,638.489990234375
1,599616013036.4148,1780936883481.465,13931,11,599616012567.1841,646.182373046875
1,599616013036.4148,1780936883481.489,3124,12,599616012574.8763,653.8746337890625
1,599616013036.4148,1780936883481.496,9881,13,599616012582.5686,661.56689453125
1,599616013036.4148,1780936883481.503,10866,14,599616012590.261,669.25927734375
1,599616013036.4148,1780936883481.585,2049,15,599616012597.9532,676.9515380859375
1,599616013036.4148,1780936883481.618,13612,16,599616012605.6455,684.643798828125
1,599616013036.4148,1780936883481.693,5415,17,599616012613.3379,692.336181640625
1,599616013036.4148,1780936883481.698,6716,18,599616012621.0302,700.0284423828125
1,599616013036.4148,1780936883481.701,12732,19,599616012628.7225,707.7208251953125
1,599616013036.4148,1780936883481.7048,1596,20,599616012636.4148,715.4130859375
1,599616013036.4148,1780936883481.707,12039,21,599616012644.107,723.1053466796875
1,599616013036.4148,1780936883481.709,8148,22,599616012651.7994,730.7977294921875
1,599616013036.4148,1780936883481.7122,3796,23,599616012659.4917,738.489990234375
1,599616013036.4148,1780936883481.714,13670,24,599616012667.1841,746.182373046875
1,599616013036.4148,1780936883481.7158,2792,25,599616012674.8763,753.8746337890625
1,599616013036.4148,1780936883481.719,9491,26,599616012682.5686,761.56689453125
1,599616013036.4148,1780936883481.721,10703,27,599616012690.261,769.25927734375
1,599616013036.4148,1780936883481.7861,1751,28,599616012697.9532,776.9515380859375
1,599616013036.4148,1780936883481.791,13285,29,599616012705.6455,784.643798828125
1,599616013036.4148,1780936883481.7942,5071,30,599616012713.3379,792.336181640625
1,599616013036.4148,1780936883481.7969,6298,31,599616012721.0302,800.0284423828125
1,599616013036.4148,1780936883481.7988,12530,32,599616012728.7225,807.7208251953125
1,599616013036.4148,1780936883481.802,1261,33,599616012736.4148,815.4130859375
1,599616013036.4148,1780936883481.8052,11740,34,599616012744.107,823.1053466796875
1,599616013036.4148,1780936883481.807,7936,35,599616012751.7994,830.7977294921875
1,599616013036.4148,1780936883481.812,3308,36,599616012759.4917,838.489990234375
1,599616013036.4148,1780936883481.814,13343,37,599616012767.1841,846.182373046875
1,599616013036.4148,1780936883481.8162,2441,38,599616012774.8763,853.8746337890625
1,599616013036.4148,1780936883481.8188,9086,39,599616012782.5686,861.56689453125
1,599616013036.4148,1780936883481.821,10522,40,599616012790.261,869.25927734375
1,599616013036.4148,1780936883481.823,1310,41,599616012797.9532,876.9515380859375
1,599616013036.4148,1780936883481.8252,12904,42,599616012805.6455,884.643798828125
1,599616013036.4148,1780936883481.827,4779,43,599616012813.3379,892.336181640625
1,599616013036.4148,1780936883481.8289,5759,44,599616012821.0302,900.0284423828125
1,599616013036.4148,1780936883481.832,12193,45,599616012828.7225,907.7208251953125
1,599616013036.4148,1780936883481.834,901,46,599616012836.4148,915.4130859375
1,599616013036.4148,1780936883481.837,11352,47,599616012844.107,923.1053466796875
1,599616013036.4148,1780936883481.8398,7606,48,599616012851.7994,930.7977294921875
1,599616013036.4148,1780936883481.842,2692,49,599616012859.4917,938.489990234375
1,599616013036.4148,1780936883481.844,12918,50,599616012867.1841,946.182373046875
1,599616013036.4148,1780936883481.861,2116,51,599616012874.8763,953.8746337890625
1,599616013036.4148,1780936883481.896,8631,52,599616012882.5686,961.56689453125
1,599616013036.4148,1780936883481.899,10188,53,599616012890.261,969.25927734375
1,599616013036.4148,1780936883481.92,880,54,599616012897.9532,976.9515380859375
1,599616013036.4148,1780936883481.925,12625,55,599616012905.6455,984.643798828125
1,599616013036.4148,1780936883481.9282,4502,56,599616012913.3379,992.336181640625
1,599616013036.4148,1780936883481.931,5318,57,599616012921.0302,1000.0284423828125
1,599616013036.4148,1780936883482.007,12032,58,599616012928.7225,1007.7208251953125
1,599616013036.4148,1780936883482.03,539,59,599616012936.4148,1015.4130859375
1,599616013036.4148,1780936883482.043,10892,60,599616012944.107,1023.1053466796875
1,599616013036.4148,1780936883482.047,7365,61,599616012951.7994,1030.7977294921875
1,599616013036.4148,1780936883482.083,2353,62,599616012959.4917,1038.489990234375
1,599616013036.4148,1780936883482.085,12797,63,599616012967.1841,1046.182373046875
1,599616013036.4148,1780936883482.0881,1849,64,599616012974.8763,1053.8746337890625
1,599616013036.4148,1780936883482.1428,8152,65,599616012982.5686,1061.56689453125
1,599616013036.4148,1780936883482.21,10027,66,599616012990.261,1069.25927734375
1,599616013036.4148,1780936883482.2349,485,67,599616012997.9532,1076.9515380859375
1,599616013036.4148,1780936883482.2422,12230,68,599616013005.6455,1084.643798828125
1,599616013036.4148,1780936883482.311,4312,69,599616013013.3379,1092.336181640625
1,599616013036.4148,1780936883482.3142,4862,70,599616013021.0302,1100.0284423828125
1,599616013036.4148,1780936883482.317,11700,71,599616013028.7225,1107.7208251953125
1,599616013036.4148,1780936883482.32,253,72,599616013036.4148,1115.4130859375
2,599616013597.9663,1780936884021.007,10580,0,599616013044.1201,1123.118408203125
2,599616013597.9663,1780936884021.019,7146,1,599616013051.8125,1130.810791015625
2,599616013597.9663,1780936884021.021,1942,2,599616013059.5048,1138.5030517578125
2,599616013597.9663,1780936884021.025,12537,3,599616013067.197,1146.1953125
2,599616013597.9663,1780936884021.027,1572,4,599616013074.8894,1153.8876953125
2,599616013597.9663,1780936884021.03,7729,5,599616013082.5817,1161.5799560546875
2,599616013597.9663,1780936884021.032,9769,6,599616013090.274,1169.2723388671875
2,599616013597.9663,1780936884021.034,123,7,599616013097.9663,1176.964599609375
2,599616013597.9663,1780936884021.037,12007,8,599616013105.6586,1184.6568603515625
2,599616013597.9663,1780936884021.039,4105,9,599616013113.351,1192.3492431640625
2,599616013597.9663,1780936884021.041,4449,10,599616013121.0432,1200.04150390625
2,599616013597.9663,1780936884021.043,11482,11,599616013128.7356,1207.73388671875
2,599616013597.9663,1780936884021.045,-223,12,599616013136.4279,1215.4261474609375
2,599616013597.9663,1780936884021.047,10062,13,599616013144.1201,1223.118408203125
2,599616013597.9663,1780936884021.049,6946,14,599616013151.8125,1230.810791015625
2,599616013597.9663,1780936884021.051,1549,15,599616013159.5048,1238.5030517578125
2,599616013597.9663,1780936884021.053,12246,16,599616013167.197,1246.1953125
2,599616013597.9663,1780936884021.057,1245,17,599616013174.8894,1253.8876953125
2,599616013597.9663,1780936884021.059,7167,18,599616013182.5817,1261.5799560546875
2,599616013597.9663,1780936884021.061,9465,19,599616013190.274,1269.2723388671875
2,599616013597.9663,1780936884021.063,-195,20,599616013197.9663,1276.964599609375
2,599616013597.9663,1780936884021.065,11712,21,599616013205.6586,1284.6568603515625
2,599616013597.9663,1780936884021.067,3833,22,599616013213.351,1292.3492431640625
2,599616013597.9663,1780936884021.069,3982,23,599616013221.0432,1300.04150390625
2,599616013597.9663,1780936884021.071,11261,24,599616013228.7356,1307.73388671875
2,599616013597.9663,1780936884021.073,-406,25,599616013236.4279,1315.4261474609375
2,599616013597.9663,1780936884021.08,9818,26,599616013244.1201,1323.118408203125
2,599616013597.9663,1780936884021.083,6758,27,599616013251.8125,1330.810791015625
2,599616013597.9663,1780936884021.085,1152,28,599616013259.5048,1338.5030517578125
2,599616013597.9663,1780936884021.087,12016,29,599616013267.197,1346.1953125
2,599616013597.9663,1780936884021.089,1080,30,599616013274.8894,1353.8876953125
2,599616013597.9663,1780936884021.091,6942,31,599616013282.5817,1361.5799560546875
2,599616013597.9663,1780936884021.0928,9349,32,599616013290.274,1369.2723388671875
