packet_id,device_time,host_time,x,y,z
2,599617366270.1688,1780930533508.187,-88,96,-1020
2,599617366270.1688,1780930533508.2131,-87,95,-1021
2,599617366270.1688,1780930533508.24,-86,95,-1019
2,599617366270.1688,1780930533508.2668,-86,96,-1017
2,599617366270.1688,1780930533508.293,-86,93,-1021
3,599617366451.995,1780930533685.303,-88,94,-1021
3,599617366451.995,1780930533685.3179,-87,94,-1019
3,599617366451.995,1780930533685.324,-86,94,-1016
3,599617366451.995,1780930533685.3298,-89,96,-1020
3,599617366451.995,1780930533685.3362,-85,95,-1022
3,599617366451.995,1780930533685.3408,-85,94,-1021
3,599617366451.995,1780930533685.3472,-88,94,-1018
3,599617366451.995,1780930533685.352,-91,96,-1015
3,599617366451.995,1780930533685.3582,-86,95,-1024
3,599617366451.995,1780930533685.364,-87,98,-1023
3,599617366451.995,1780930533685.369,-86,95,-1023
3,599617366451.995,1780930533685.375,-87,96,-1017
3,599617366451.995,1780930533685.3809,-89,95,-1016
3,599617366451.995,1780930533685.386,-86,94,-1014
3,599617366451.995,1780930533685.3918,-90,96,-1023
3,599617366451.995,1780930533685.397,-88,93,-1019
3,599617366451.995,1780930533685.403,-88,94,-1027
3,599617366451.995,1780930533685.4092,-87,96,-1026
3,599617366451.995,1780930533685.414,-86,94,-1018
3,599617366451.995,1780930533685.42,-88,96,-1024
3,599617366451.995,1780930533685.426,-84,95,-1021
3,599617366451.995,1780930533685.432,-87,98,-1027
3,599617366451.995,1780930533685.438,-89,97,-1019
3,599617366451.995,1780930533685.4429,-88,94,-1021
3,599617366451.995,1780930533685.449,-88,94,-1021
3,599617366451.995,1780930533685.455,-86,96,-1023
3,599617366451.995,1780930533685.4602,-90,95,-1017
3,599617366451.995,1780930533685.466,-85,95,-1024
3,599617366451.995,1780930533685.476,-88,93,-1025
3,599617366451.995,1780930533685.482,-84,95,-1019
3,599617366451.995,1780930533685.488,-86,94,-1021
3,599617366451.995,1780930533685.494,-90,95,-1023
3,599617366451.995,1780930533685.499,-87,96,-1018
3,599617366451.995,1780930533685.505,-87,92,-1020
3,599617366451.995,1780930533685.51,-84,95,-1021
3,599617366451.995,1780930533685.516,-87,94,-1019
4,599617366633.8518,1780930533866.624,-85,98,-1017
4,599617366633.8518,1780930533866.673,-85,96,-1021
4,599617366633.8518,1780930533866.694,-87,96,-1022
4,599617366633.8518,1780930533866.714,-86,94,-1020
4,599617366633.8518,1780930533866.7349,-85,96,-1025
4,599617366633.8518,1780930533866.761,-90,94,-1019
4,599617366633.8518,1780930533866.781,-85,93,-1019
4,599617366633.8518,1780930533866.801,-88,94,-1021
4,599617366633.8518,1780930533866.822,-86,93,-1026
4,599617366633.8518,1780930533866.841,-85,94,-1020
4,599617366633.8518,1780930533866.8599,-87,95,-1023
4,599617366633.8518,1780930533866.88,-84,95,-1022
4,599617366633.8518,1780930533866.9,-88,97,-1018
4,599617366633.8518,1780930533866.919,-88,97,-1023
4,599617366633.8518,1780930533866.939,-86,94,-1022
4,599617366633.8518,1780930533866.957,-89,97,-1018
4,599617366633.8518,1780930533866.977,-83,95,-1021
4,599617366633.8518,1780930533866.996,-90,95,-1017
4,599617366633.8518,1780930533867.016,-88,94,-1021
4,599617366633.8518,1780930533867.035,-89,93,-1021
4,599617366633.8518,1780930533867.054,-87,94,-1020
4,599617366633.8518,1780930533867.073,-87,93,-1019
4,599617366633.8518,1780930533867.093,-88,96,-1020
4,599617366633.8518,1780930533867.1118,-88,94,-1023
4,599617366633.8518,1780930533867.1318,-87,93,-1019
4,599617366633.8518,1780930533867.1501,-84,94,-1017
4,599617366633.8518,1780930533867.1702,-82,94,-1023
4,599617366633.8518,1780930533867.189,-85,93,-1021
4,599617366633.8518,1780930533867.208,-85,93,-1018
4,599617366633.8518,1780930533867.258,-87,94,-1022
4,599617366633.8518,1780930533867.2769,-85,96,-1021
4,599617366633.8518,1780930533867.2969,-90,97,-1022
4,599617366633.8518,1780930533867.3179,-84,93,-1021
4,599617366633.8518,1780930533867.337,-88,93,-1018
4,599617366633.8518,1780930533867.357,-86,94,-1020
4,599617366633.8518,1780930533867.376,-83,96,-1019
5,599617366815.8,1780930534044.824,-82,84,-1027
5,599617366815.8,1780930534044.8389,-86,94,-1014
5,599617366815.8,1780930534044.847,-89,96,-1027
5,599617366815.8,1780930534044.853,-89,95,-1021
5,599617366815.8,1780930534044.857,-87,94,-1021
5,599617366815.8,1780930534044.862,-85,93,-1021
5,599617366815.8,1780930534044.867,-87,94,-1019
5,599617366815.8,1780930534044.871,-89,95,-1021
5,599617366815.8,1780930534044.876,-87,96,-1022
5,599617366815.8,1780930534044.882,-89,94,-1029
