,timestamp,x,y,z,time
0,599620912041,-86,125,-1022,0
1,599620912046,-83,120,-1020,5
2,599620912051,-83,122,-1020,10
3,599620912056,-81,121,-1020,15
4,599620912061,-82,119,-1017,20
5,599620912066,-82,117,-1017,25
6,599620912071,-77,120,-1019,30
7,599620912076,-82,118,-1018,35
8,599620912081,-83,119,-1018,40
9,599620912086,-81,122,-1022,45
10,599620912091,-81,122,-1018,50
11,599620912096,-81,120,-1020,55
12,599620912101,-79,118,-1017,60
13,599620912106,-81,118,-1015,65
14,599620912111,-83,115,-1021,70
15,599620912116,-80,120,-1016,75
16,599620912121,-79,119,-1018,80
17,599620912126,-80,122,-1021,85
18,599620912131,-79,122,-1018,90
19,599620912136,-81,123,-1019,95
20,599620912141,-82,120,-1019,100
21,599620912146,-82,122,-1017,105
22,599620912151,-80,124,-1019,110
23,599620912156,-81,117,-1017,115
24,599620912161,-80,120,-1021,120
25,599620912166,-83,118,-1020,125
26,599620912171,-83,121,-1017,130
27,599620912176,-83,122,-1021,135
28,599620912181,-86,127,-1027,140
29,599620912186,-84,122,-1016,145
30,599620912191,-82,124,-1017,150
31,599620912196,-87,121,-1013,155
32,599620912201,-85,122,-1022,160
33,599620912206,-83,122,-1018,165
34,599620912211,-84,122,-1026,170
35,599620912216,-81,124,-1027,175
36,599620912223,-83,119,-1018,182
37,599620912228,-82,124,-1026,187
38,599620912233,-84,124,-1021,192
39,599620912238,-84,127,-1022,197
40,599620912243,-86,119,-1021,202
41,599620912248,-82,125,-1018,207
42,599620912253,-85,120,-1025,212
43,599620912258,-84,124,-1021,217
44,599620912263,-86,123,-1020,222
45,599620912268,-82,121,-1024,227
46,599620912273,-86,122,-1018,232
47,599620912278,-86,119,-1023,237
48,599620912283,-86,123,-1021,242
49,599620912288,-85,119,-1017,247
50,599620912293,-80,122,-1019,252
51,599620912298,-82,128,-1023,257
52,599620912303,-86,127,-1023,262
53,599620912308,-85,123,-1022,267
54,599620912313,-83,124,-1022,272
55,599620912318,-81,124,-1021,277
56,599620912323,-84,122,-1021,282
57,599620912328,-85,124,-1018,287
58,599620912333,-85,123,-1021,292
59,599620912338,-86,123,-1023,297
60,599620912343,-83,123,-1021,302
61,599620912348,-84,123,-1023,307
62,599620912353,-83,122,-1019,312
63,599620912358,-81,123,-1019,317
64,599620912363,-78,122,-1016,322
65,599620912368,-84,124,-1022,327
66,599620912373,-82,122,-1022,332
67,599620912378,-84,120,-1020,337
68,599620912383,-85,122,-1020,342
69,599620912388,-83,122,-1017,347
70,599620912393,-81,121,-1022,352
71,599620912398,-79,119,-1021,357
72,599620912405,-81,121,-1021,364
73,599620912410,-82,122,-1017,369
74,599620912415,-81,122,-1022,374
75,599620912420,-80,117,-1018,379
76,599620912425,-82,118,-1018,384
77,599620912430,-82,115,-1016,389
78,599620912435,-84,115,-1019,394
79,599620912440,-79,121,-1011,399
80,599620912445,-80,119,-1021,404
81,599620912450,-85,119,-1020,409
82,599620912455,-81,123,-1024,414
83,599620912460,-86,118,-1022,419
84,599620912465,-84,123,-1022,424
85,599620912470,-82,119,-1017,429
86,599620912475,-81,115,-1020,434
87,599620912480,-82,118,-1018,439
88,599620912485,-82,117,-1019,444
89,599620912490,-81,121,-1022,449
90,599620912495,-82,122,-1019,454
91,599620912500,-85,122,-1021,459
92,599620912505,-83,122,-1024,464
93,599620912510,-81,122,-1018,469
94,599620912515,-83,121,-1015,474
95,599620912520,-81,122,-1017,479
96,599620912525,-82,120,-1021,484
97,599620912530,-85,124,-1020,489
98,599620912535,-81,122,-1023,494
